"NAF","HS4","weight"
"2030Z",3215,0.2485
"2030Z",3213,0.0273
"2030Z",3211,0.0082
"2030Z",3210,0.0069
"2030Z",3208,0.2964
"2030Z",3212,0.0438
"2011Z",2811,0.318
"2011Z",2804,0.682
"2011Z",2853,0.0001
"2012Z",3202,0.0634
"2012Z",3205,0.0041
"2012Z",2825,0.1259
"2012Z",3206,0.2542
"2012Z",2819,0.0049
"2012Z",2817,0.0081
"2012Z",2822,0.0003
"2012Z",2823,0.1008
"2012Z",2820,0.0106
"2012Z",2824,0.0008
"2012Z",3203,0.0544
"2012Z",2821,0.0207
"2012Z",3201,0.0183
"2012Z",3204,0.3335
"2013A",2844,0.7558
"2013A",8401,0.2442
"2013B",2841,0.0033
"2013B",2828,0.0089
"2013B",2829,0.0196
"2013B",2818,0.14
"2013B",2816,0.0014
"2013B",2815,0.1148
"2013B",2826,0.0021
"2013B",2813,0.0114
"2013B",2812,0.0055
"2013B",2811,0.0778
"2013B",2806,0.0021
"2013B",2601,0.0032
"2013B",2805,0.0256
"2013B",2801,0.0073
"2013B",2804,0.1669
"2013B",2830,0.0012
"2013B",2831,0.0003
"2013B",2832,0.0032
"2013B",2833,0.0186
"2013B",2834,0.0079
"2013B",2835,0.0531
"2013B",2836,0.0802
"2013B",2837,0.0011
"2013B",2839,0.0068
"2013B",2840,0.0028
"2013B",2842,0.01
"2013B",2846,0.0223
"2013B",2843,0.0137
"2013B",2845,0.0065
"2013B",2849,0.0078
"2013B",2825,0.0515
"2013B",2852,0.0001
"2013B",2853,0.0001
"2013B",2802,0.0003
"2013B",7104,0.0078
"2013B",2809,0.0052
"2013B",2803,0.0301
"2013B",2847,0.0196
"2013B",2807,0.0051
"2013B",2810,0.0007
"2013B",2503,0.0029
"2013B",2850,0.0034
"2013B",2827,0.0481
"2014Z",2932,0.0211
"2014Z",2904,0.0032
"2014Z",2931,0.0018
"2014Z",3806,0.0047
"2014Z",3805,0.0009
"2014Z",2207,0.045
"2014Z",3804,0.0007
"2014Z",2930,0.0363
"2014Z",3823,0.198
"2014Z",2913,0.0001
"2014Z",2929,0.0114
"2014Z",2926,0.0226
"2014Z",3802,0.005
"2014Z",2925,0.0105
"2014Z",2924,0.013
"2014Z",2942,0.0033
"2014Z",2922,0.0292
"2014Z",2921,0.0387
"2014Z",2920,0.0049
"2014Z",2919,0.0012
"2014Z",2918,0.017
"2014Z",2917,0.0161
"2014Z",2916,0.0348
"2014Z",2915,0.0157
"2014Z",2914,0.0157
"2014Z",2912,0.0083
"2014Z",2906,0.0038
"2014Z",2910,0.0133
"2014Z",3507,0.0256
"2014Z",2905,0.0443
"2014Z",2928,0.0023
"2014Z",2909,0.0409
"2014Z",2907,0.0144
"2014Z",2908,0.0001
"2014Z",2903,0.0203
"2014Z",4402,0.0005
"2014Z",2902,0.0397
"2014Z",3803,0.0002
"2014Z",3807,0.0005
"2014Z",2901,0.0279
"2014Z",2707,0.0391
"2014Z",2927,0.0004
"2014Z",2911,0.0002
"2014Z",2939,0.0049
"2014Z",2934,0.0191
"2014Z",2933,0.1434
"2015Z",2827,0.2039
"2015Z",2814,0.0661
"2015Z",2808,0.0263
"2015Z",3101,0.0559
"2015Z",3105,0.1781
"2015Z",3104,0.0281
"2015Z",3103,0.0069
"2015Z",3102,0.4014
"2015Z",2834,0.0334
"2053Z",3301,0.1813
"2053Z",3302,0.8187
"2016Z",3901,0.1911
"2016Z",3902,0.1732
"2016Z",3910,0.0326
"2016Z",3907,0.0851
"2016Z",3908,0.0676
"2016Z",3909,0.0304
"2016Z",3911,0.0467
"2016Z",3905,0.0079
"2016Z",3912,0.0104
"2016Z",3904,0.1242
"2016Z",3906,0.1223
"2016Z",3914,0.0123
"2016Z",3913,0.0194
"2016Z",3903,0.0768
"2110Z",2939,0.0059
"2110Z",2918,0.0204
"2110Z",2922,0.0352
"2110Z",2923,0.0041
"2110Z",2924,0.0157
"2110Z",3002,0.5473
"2110Z",2940,0.0066
"2110Z",2932,0.0254
"2110Z",2933,0.1725
"2110Z",3001,0.0403
"2110Z",2934,0.0229
"2110Z",2935,0.0219
"2110Z",2936,0.041
"2110Z",2937,0.0191
"2110Z",2938,0.0107
"2110Z",2941,0.0108
"2120Z",3003,0.0137
"2120Z",3002,0.1982
"2120Z",3824,0.0001
"2120Z",3004,0.759
"2120Z",3005,0.0111
"2120Z",3006,0.018
"2211Z",4006,0.0259
"2211Z",4012,0.0557
"2211Z",4011,0.9149
